,XGBoost,LightGBM,CatBoost,SVR,KNN,ElasticNet,LSTM,Prophet,SARIMAX,TFT
2025-01-06,0.0,0.09004391217564868,0.023449101796407194,0.0,0.0,0.5252614770459084,1.596806387225553e-05,0.0,0.0,0.3612295409181636
2025-01-07,0.1421956087824352,0.0,0.0,0.0,0.0,0.49136926147704596,1.596806387225553e-05,0.0,0.0,0.3664191616766467
2025-01-08,0.11292614770459082,0.0,0.06532534930139723,0.0,0.0,0.4446227544910182,1.596806387225553e-05,0.0001996007984031937,0.0,0.37691017964071866
2025-01-09,0.17395608782435126,0.0,0.0,0.0,0.0,0.46947704590818407,1.596806387225553e-05,0.007552894211576848,0.0,0.34899800399201564
2025-01-10,0.14378443113772454,0.0,0.0,0.0,1.596806387225553e-05,0.4610698602794412,0.0,0.02128542914171656,0.0,0.3738443113772456
2025-01-11,0.10861477045908187,0.0,0.0,0.0,1.596806387225553e-05,0.5012774451097808,0.0,0.0,0.0,0.39009181636726564
2025-01-12,0.20053493013972046,0.0,0.0,0.0,1.596806387225553e-05,0.3676487025948101,0.0,0.0,0.0,0.43180039920159685
2025-01-13,0.21907385229540935,0.0,1.596806387225553e-05,0.0,0.0,0.2813732534930138,0.0,0.0,0.0,0.49953692614770484
2025-01-14,0.1818043912175648,0.0,1.596806387225553e-05,0.0,0.0,0.27502594810379255,0.0,0.0,0.0,0.5431536926147703
2025-01-15,0.24073453093812383,0.0,1.596806387225553e-05,0.0,0.0,0.18027145708582826,0.0,0.0,0.0,0.5789780439121752
2025-01-16,0.16412774451097803,0.0,1.596806387225553e-05,0.0,0.0,0.24127744510978055,0.0,0.0,0.0,0.5945788423153692
2025-01-17,0.18621956087824365,0.0,0.00014371257485029963,0.0,0.0,0.23509780439121758,0.0,0.0,0.0,0.5785389221556884
2025-01-18,0.199872255489022,0.0,0.00016766467065868287,0.0,0.0,0.14778443113772463,0.0,0.0,0.0,0.6521756487025943
2025-01-19,0.1914411177644711,0.0,1.596806387225553e-05,0.0,0.0,0.1699880239520958,0.0,0.0,0.0,0.6385548902195601
2025-01-20,0.17435528942115774,0.033245508982035876,0.00027944111776447136,0.0,0.0,0.1434011976047905,0.0,0.0,0.0,0.6487185628742514
2025-01-21,0.16100598802395227,0.0703632734530938,0.0,0.0,0.0,0.15448303393213572,0.0,0.0,0.0,0.614147704590818
2025-01-22,0.30859880239520987,0.0,0.0,0.0,0.0,0.07149700598802394,0.0,0.0,0.0,0.6199041916167666
2025-01-23,0.35531337325349294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6446866267465071
2025-01-24,0.32700199600798424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6729980039920161
2025-01-25,0.22408782435129743,0.0,0.0,0.0,0.0,0.0,0.0,0.1964231536926147,2.395209580838325e-05,0.5794650698602792
2025-01-26,0.19195209580838338,0.0,0.0,0.0,0.0,0.0,0.0,0.2216367265469062,0.06221157684630738,0.524199600798403
2025-01-27,0.214307385229541,0.0,0.0,0.0,0.0,0.0,0.0,0.09803592814371266,0.10513373253493018,0.5825229540918164
2025-01-28,0.20622754491017958,0.0,0.0,0.0,0.0,0.0,0.0,0.04970059880239523,0.14625948103792433,0.5978123752495005
2025-01-29,0.15962475049900215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22731337325349307,0.6130618762475052
2025-01-30,0.13952095808383247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18631536926147704,0.6741636726546907
2025-01-31,0.12887824351297428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1876167664670659,0.6835049900199602
2025-02-01,0.2156726546906188,0.0,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.016223552894211568,0.1611656686626748,0.6069221556886223
2025-02-02,0.1739720558882237,0.08711377245508987,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.0005109780439121767,0.15026746506986027,0.588119760479042
2025-02-03,0.12898203592814372,0.06926946107784437,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.11295009980039912,0.0,0.68878243512974
2025-02-04,0.0,0.19057884231536942,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.13596007984031946,0.0,0.6734451097804388
2025-02-05,0.00023153692614770482,0.28326546906187655,0.0,0.0,0.0,0.0,5.5888223552894286e-05,0.0970139720558882,0.0,0.6194331337325353
2025-02-06,0.0004151696606786435,0.32336127744511006,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.04925349301397206,0.12699401197604793,0.49996007984031937
2025-02-07,5.5888223552894286e-05,0.24389620758483035,0.0,9.5808383233533e-05,0.0,0.0,1.596806387225553e-05,0.16616367265469073,0.00011177644710578857,0.5896606786427142
2025-02-08,0.00010379241516966087,0.17695009980039925,0.0,0.06144510978043912,0.0,0.0,1.596806387225553e-05,0.12688223552894215,0.00048702594810379386,0.6341157684630737
2025-02-09,0.0,0.0,0.0,0.2370299401197605,0.0,0.0,0.0,0.05006786427145709,0.25692614770459093,0.4559760479041917
2025-02-10,0.0,0.0,0.0,0.26529341317365274,0.0,0.0,0.0,0.00011976047904191638,0.34389620758483036,0.3906906187624752
2025-02-11,0.0,0.0,0.0,0.2415249500998005,0.0,0.0,0.0,0.00028742514970059925,0.29365269461077814,0.46453493013972064
2025-02-12,0.013804391217564878,0.09384431137724551,0.0,0.12632335329341315,0.0,0.0,0.0,0.0,0.3586267465069861,0.40740119760479054
2025-02-13,0.04665069860279446,0.08918962075848307,0.0,0.11510578842315372,0.0,0.0,0.0,0.0,0.3639121756487026,0.38514171656686663
2025-02-14,0.029349301397205596,0.09512974051896207,0.0,0.09681437125748513,0.0,0.0,0.0,0.06379241516966062,0.23244710578842323,0.48246706586826377
2025-02-15,0.08598802395209582,0.0,0.0,0.22617165668662692,1.596806387225553e-05,0.0,0.0,0.0,0.20508582834331354,0.48273852295409214
2025-02-16,3.193612774451106e-05,0.3159600798403196,0.0,0.11538522954091823,1.596806387225553e-05,0.0,0.0,0.0,2.395209580838325e-05,0.5685828343313369
2025-02-17,0.0002475049900199603,0.36111776447105803,0.0,0.07794810379241521,1.596806387225553e-05,0.0,0.0,0.0,2.395209580838325e-05,0.5606467065868264
2025-02-18,3.193612774451106e-05,0.4404151696606786,0.0,0.021868263473053894,1.596806387225553e-05,0.0,0.0,0.0,3.992015968063883e-05,0.5376287425149704
2025-02-19,0.0,0.4171896207584832,0.0,0.00691417165668662,0.034778443113772484,0.0,0.0,0.0,0.0,0.5411177644710584
2025-02-20,0.09407584830339316,0.0,0.0,0.0,0.2135089820359283,0.0,0.0,0.12608383233532938,0.006586826347305396,0.5597445109780438
2025-02-21,0.0,0.0,0.0,1.596806387225553e-05,0.18254690618762479,0.0,0.0,0.27246307385229546,3.193612774451106e-05,0.5449421157684635
2025-02-22,0.0,0.0,0.0,0.0,0.027201596806387226,0.0,0.0,0.4339401197604791,0.0,0.5388582834331338
2025-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4960718562874247,0.0,0.5039281437125749
2025-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5217245508982044,0.0,0.4782754491017965
2025-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5249660678642707,0.0,0.47503393213572875
2025-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539297405189621,0.0,0.46070259481037906
2025-02-27,0.0,0.0,0.0,0.0,0.017724550898203597,0.0,0.0,0.526179640718563,0.0,0.45609580838323327
2025-02-28,0.0,0.07033932135728539,0.0,0.0,0.01129740518962076,0.0,0.0,0.4863393213572855,0.0,0.4320239520958086
2025-03-01,0.0,0.0,0.0,0.07907385229540922,0.032255489021956095,0.0,0.0,0.4585548902195613,0.0,0.430115768463074
2025-03-02,0.0,0.0,0.0,0.01820359281437127,0.05841117764471064,0.0,0.0,0.4755289421157687,0.00016766467065868287,0.44768862275449106
2025-03-03,0.0,0.0,0.0,0.0,0.03772455089820359,0.0,0.0,0.5089500998003996,0.00012774451097804425,0.4531976047904193
2025-03-04,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.0,0.0,0.5318722554890223,3.193612774451106e-05,0.46807984031936123
